"","x"
"1",32
"2",32
"3",63
"4",32
"5",32
"6",32
"7",67
"8",100
"9",32
"10",32
"11",32
"12",23
"13",23
"14",23
"15",67
"16",23
"17",74
"18",48
"19",48
"20",32
"21",32
"22",32
"23",63
"24",82
"25",82
"26",63
"27",32
"28",32
"29",32
"30",48
"31",32
"32",63
"33",63
"34",74
"35",32
"36",74
"37",74
"38",63
"39",48
"40",32
"41",32
"42",63
"43",32
"44",23
"45",100
"46",67
"47",56
"48",74
"49",32
"50",32
"51",67
"52",23
"53",63
"54",63
"55",32
"56",42
"57",32
"58",42
"59",23
"60",32
"61",74
"62",48
"63",63
"64",74
"65",37
"66",74
"67",100
"68",48
"69",32
"70",63
"71",23
"72",32
"73",67
"74",48
"75",37
"76",100
"77",37
"78",100
"79",42
"80",63
"81",32
"82",48
"83",42
"84",74
"85",48
"86",32
"87",32
"88",32
"89",42
"90",48
"91",48
"92",23
"93",48
"94",32
"95",82
"96",23
"97",42
"98",32
"99",23
"100",63
"101",74
"102",32
"103",63
"104",37
"105",37
"106",32
"107",63
"108",32
"109",63
"110",63
